Project Number,HDI Rank (2018),HDI Value (2018),City/Town,Country,Partner Institution,Project Title,Project One-liner,Specific Discipline,Project Year,Volunteering Institution 1,Volunteering Institution 2,Volunteering Institution 3,Volunteering Institution 4,Volunteering Institution 5,Volunteering Institution 6
1,176,0.465,Monrovia,Liberia,University of Liberia,Strategic Advising,Providing institutional strategic planning advice to the President of the University of Liberia,,2010,"University of Massachusetts, USA/ Simon Fraser University, Canada",,,,,
2,42,0.847,Bio Bio Region,Chile,University of Bio Bio,University of Bio Bio Disabilities ,Assisting in setting up support services for disabled students.,,2010,"McGill University, Canada",,,,,
3,142,0.596,Cape Coast,Ghana,University of Cape Coast,Needs Assessment Department of Computer Science & IT ,Completing a needs assesment on the potential for development and delivery of a transitional doctoral program in Computer Science and Information Technology at the University.  ,Computer Science,2010,"Universite de Montreal, Canada",Retired,,,,
4,111,0.707,Yogiakarta,Indonesia,State Islamic University Yogyakarta,Developing programs for visually impaired students,Worked with the staff of the newly established Centre for Disabilities Studies and Service to develop prgrams for students with visual impairments,,2010,"McGill University, Canada",,,,,
5,176,0.465,Monrovia,Liberia,University of Liberia,University of Liberia IT Report for President ,Providing an integrated IT plan tying together the disparate components of IT with a program for reliable maintenance.,,2010,Unknown,,,,,
6,176,0.465,Monrovia,Liberia,University of Liberia,University of Liberia IScience Education,Assessing basic science and mathematics programs; providing workshop on doing classroom demonstration experiments using local equipment.,,2010,"Harvard University, USA","Harvard University, USA","MIT, USA",,,
7,157,0.536,Butare,Rwanda,National University of Rwanda,Reorganizing the Registrar's Office,"Reorganizing and enabling the registrar's office to efficiently provide administrative services (recruitment, admissions, & management of student records).",,2010,"Dalhousie University, Canada",Self-employed,,,,
8,163,0.520,Cotonou,Benin,University of D'Abomey Calavi,University of D'Abomey Calvi  ,Assisted in setting up a program to train professional dieticians.,Nutrition,2011,Unknown,Unknown,,,,
9,173,0.470,Addis Ababa,Ethiopia,Addis Ababa University,Addis Ababa University Medical School Family Medicine ,Assisting the Faculty of Medicine in setting up a residency program in family medicine.,Medicine,2011,"University of Toronto, Canada",,,,,
10,173,0.470,Awassa,Ethiopia,Hawassa University,Hawassa University Nutrition,Designing a capstone course in nutrition for the undergraduate nutrition curriculum.,Nutrition,2011,"University of Saskatchewan, Canada",,,,,
11,142,0.596,Cape Coast,Ghana,University of Cape Coast,UCC DSCIT Doctoral Programme ,Providing instruction to faculty to upgrade their ability to offer the first PhD program in Computer Science in Ghana,Computer Science,2011,"National Institute for Research in Computer Science and Automation (INRIA), France","National Institute for Research in Computer Science and Automation (INRIA), France",,,,
12,176,0.465,Monrovia,Liberia,University of Liberia,University of Liberia  Economics ,Helping set up a course in African economic development; giving a seminar for faculty in Economics on research methodology.,Economics,2011-07-02,"Carleton University, Canada",,,,,
13,176,0.465,Monrovia,Liberia,University of Liberia,University of Liberia Remedial Programme Needs Assessment ,Assessing the remedial programs in English and mathematics.,,2011,Unknown,,,,,
14,176,0.465,Monrovia,Liberia,University of Liberia,University of Liberia Remedial Programme ,Upgrading the remedial program in English and mathematics for ill-prepared incoming students.,,2011,Unknown,,,,,
15,130,0.645,Windhoek,Namibia,University of Namibia,Namibia University of Namibia Learning Centre  ,Helping establish academic support programs for students; giving seminars for faculty on collaborative teaching and learning and the peer review process.,,2011,"University of Prince Edward Island - Learning Centre, Canada",,,,,
16,130,0.645,Windhoek,Namibia,University of Namibia,University of Namibia  Science Education ,Giving a course on university teaching to new faculty; providing workshops in active teaching and learning strategies for lecturers from the various faculties.,,2011,"University of Prince Edward Island, Canada","University of Prince Edward Island, Canada","University of Prince Edward Island, Canada",,,
17,147,0.579,Patan,Nepal,Patan Academy of Health Sciences,Patan Academy Health Science Cardiology & Genetics,Delivering basic courses in cardiology and human biology; introducing and helping faculty to use problem-based and more student-based learning.,,2011,"University of British Columbia, Canada","University of Victoria, Canada","University of Calgary, Canada",,,
18,158,0.534,Ilorin,Nigeria,Kwara State University,Establishment of a Centre for Innovation and International Studies,"Assisting faculty to establish, staff, and organize a centre for innovation and international studies. ",,2011,"University of Alberta, Canada",,,,,
19,157,0.536,"Ruhande, Huye District",Rwanda,National University of Rwanda,Development of a Master's Degree in Accounting,Assisting faculty to develop curriculum for the first Master of Science in Accounting offered in Rwanda. ,Accounting,2011,"Dalhousie University - Rowe School of  Business, Canada",,,,,
20,181,0.438,Freetown,Sierra Leone,University of Sierra Leone,Exploratory  ,An exploratory visit to develop working to improve primary education in the University's catchment area.,,2011,"Simon Fraser University, Canada",,,,,
21,142,0.596,Cape Coast,Ghana,University of Cape Coast,UCC DSIT Doctoral Progamme ,Providing instruction to faculty to upgrade their ability to offer the first PhD program in Computer Science in Ghana,Computer Science,2012,"University of Rennes 1, France",,,,,
22,142,0.596,Cape Coast,Ghana,University of Cape Coast,UCC DSCIT Doctoral Programme,Providing instruction to faculty to upgrade their ability to offer the first PhD program in Computer Science in Ghana,Computer Science,2012,"University of Toronto, Canada","Technical University of Vienna, Austria",,,,
23,176,0.465,Monrovia,Liberia,University of Liberia,University of Liberia  Upgrading the Teaching of Math and English  ,Enhancing faculty members' teaching skills in Mathematics and English.,,2012,"University of Massachusetts, USA",Self-employed,"Southern Connecticut State University, USA","Higgins Middle School, USA",,
24,176,0.465,Monrovia,Liberia,University of Liberia,University of Liberia - Computer Literacy ,Giving a seminar to improve computer literacy for faculty across university and seminar in business school re. the use of computers to do research online.,,2012,"University of Massachusetts, USA",,,,,
25,176,0.465,Monrovia,Liberia,University of Liberia,University of Liberia - Internet Course ,Demonstrating the feasibility of using online tools to bring the university's students into a course taught in a classroom in Boston.,,2012,"University of Massachusetts, USA/ Simon Fraser University, Canada",,,,,
26,157,0.536,Butare,Rwanda,National University of Rwanda,Development of Policies and Procedures for Administrative Offices,Developing the capacity of junior staff to develop and implement policies and propocols for national and international visitors,,2012,University of Alberta (?),,,,,
27,173,0.470,Addis Ababa,Ethiopia,Addis Ababa University,Ethiopia Addis Ababa University - Masters in Nursing in Reproductive Health ,Enhancing the training of nurses to increase the quality of nursing care for people throughout the country.,Nursing,2012,"University of Toronto, Canada","Sunnybrook Health Sciences Centre, Canada",,,,
28,"147
134","0.579
0.617","Nairobi
Kampala","Kenya
Uganda",Aga Khan University,Mentorship for Nursing Faculty,Working with nursing faculty on three campuses to develop innovative pedagogical techniques and research skills.,Nursing,2012,"University of Saskatchewan, Canada","Vancouver Island University, Canada",deceased,,,
29,176,0.465,Monrovia,Liberia,University of Liberia,University of Liberia - Research Methodology ,Improving research projects at the business college.,,2013,"Carleton University, Canada",,,,,
30,142,0.596,Cape Coast,Ghana,University of Cape Coast,University of Cape Coast - doctorate programme in computer science ,Providing instruction to faculty to upgrade their ability to offer the first PhD program in Computer Science in Ghana,Computer Science,2013,"University of Brest, France",,,,,
31,181,0.438,"Makeni
and
Kabala",Sierra Leone,University of Makeni,University of Makeni - Upgrading the teaching of Primary School Teachers ,Enhancing the education faculty's ability to teach primary school teachers how to teach mathematics and science.,,2013,"McMaster University, Canada",Retired,Unknown,,,
32,176,0.465,Monrovia,Liberia,University of Liberia,University of Liberia - Needs Assessment ,Improving faculty's and administrators' ability to do strategic planning.,,2013,"SFU, Canada",,,,,
33,142,0.596,Cape Coast,Ghana,University of Cape Coast,"University of Cape Coast, summer 2013 ",Providing instruction to faculty to upgrade their ability to offer the first PhD program in Computer Science in Ghana,Computer Science,2013,"Universidad Autonoma de Madrid, Spain","Robert Schuman University, France",,,,
34,157,0.536,Kigali,Rwanda,University of Rwanda,Strategic Planning for a new University,Working with the Rwandan Ministry of Education to establish a framework for the amalgamation of existing public institutions into the University of Rwanda,,2013,"Carleton University, Canada","University of Utah, USA",,,,
35,147,0.579,Nairobi,Kenya,Aga Khan University,Nursing Mentorship,Continuing mentorship in research and clinical training of AKU nursing faculty members in Kenya,Nursing,2013,,,,,,
36,176,0.465,Monrovia,Liberia,University of Liberia,"University of Liberia, eLearning ",Assessing the needs and possiblities of eLearning.,,2013,"University of Massachusetts, USA",,,,,
37,134,0.617,Dewathang,Bhutan,Royal University of Bhutan,Curriculum Development for Surveying,Assisting faculty to provide instruction in surveying to engineering students and developing cirriculum for a diploma program in surveying,Surveying,2013,"Continuing Professional Development Committe (CPDC) of the Association of British Columbia Land Surveyors (ABCLS), Canada",,,,,
38,111,0.707,Yogyakarta,Indonesia,State Islamic University-Yogyakarta,Strategies for integrating students with hearing difficulties,"Assisting staff to develop policies, procedures and effective strategies for integrating students with hearing impairments.",,2013,USA,,,,,
39,176,0.465,Monrovia,Liberia ,University of Liberia,UL - eLearning ,Helping with use of online resources for faculty development and with MOOCs and other online resources in the classroom.,,2013,"University of Massachusetts, USA",,,,,
40,147,0.579,Kathmandu,Nepal,Patan Academy of Health Sciences ,PAHS MS - Gap and Upgrade Teaching Cardiovascular ,Gap teaching first-year medical students in cardiovascular block; upgrading Internal Medicine physicians in echocardiography.,Public Health,2014,"University of Alberta, Canada","University of Alberta, Canada",,,,
41,176,0.465,Monrovia,Libera,University of Liberia,Upgrading skills in the English Department,Upgrading instructors’ skills in core areas of college-level English instruction,,2014,"Harvard University, USA",,,,,
42,147,0.579,Nairobi,Kenya,Aga Khan University,Developing the Quality Assurance Framework,Assisting to set up AKU wide policies and procedures on internal quality assurance to develop a framework for regular periodic reviews,,2014,Self-employed,,,,,
43,147,0.579,Nairobi,Kenya,Aga Khan University,Faculty support for the development of the Network of Teaching and Learning,Assisting the Teaching and Learning Network to develop a framework for supporting teaching and learning across the university,,2014,"Simon Fraser University, Canada",,,,,
44,142,0.596,Cape Coast,Ghana,University of Cape Coast,UCC - January Short Course and Semester Teaching - Transition Doctoral Programme  ,Providing instruction to faculty to upgrade their ability to offer the first PhD program in Computer Science in Ghana,Computer Science,2014,"University of Ldon (RHUL), UK",,,,,
45,142,0.596,Cape Coast,Ghana,University of Cape Coast,UCC-Summer - Transition Doctoral Programme ,Providing instruction to faculty to upgrade their ability to offer the first PhD program in Computer Science in Ghana,Computer Science,2015,"University of Chile, Chile","Tampere University of Technology, (TUT), Finland",,,,
